,Macro 1,Macro 2,Macro 3,Macro 4
Macro 1,1.0,0.002531645569620253,0.0,0.018018018018018018
Macro 2,0.002531645569620253,1.0,0.0,0.0163265306122449
Macro 3,0.0,0.0,1.0,0.004201680672268907
Macro 4,0.018018018018018018,0.0163265306122449,0.004201680672268907,1.0
