min_topic_size,seed,n_topics,outlier_ratio,c_v,c_npmi,topic_diversity,fit_seconds
15,42,632,0.3284,0.5105,0.0387,0.8266,344.3
25,42,632,0.3284,0.5105,0.0387,0.8266,337.5
50,42,632,0.3284,0.5105,0.0387,0.8266,311.2
100,42,421,0.3288,0.5614,0.0678,0.8501,325.8
150,42,329,0.3528,0.5825,0.0831,0.8638,331.8
200,42,250,0.3547,0.5924,0.0903,0.8876,338.7
