,Macro 1,Macro 2,Macro 3,Macro 4
Macro 1,0.0,0.6939061186140779,0.7346060073488615,0.3453841384489046
Macro 2,0.6939061186140779,0.0,0.9606545949098803,0.6607628662972612
Macro 3,0.7346060073488615,0.9606545949098803,0.0,0.706849619760318
Macro 4,0.3453841384489046,0.6607628662972612,0.706849619760318,0.0
