,precision,recall,f1-score,support
positive,0.8833333333333333,0.803030303030303,0.8412698412698413,132.0
negative,0.8414634146341463,0.9078947368421053,0.8734177215189873,152.0
accuracy,0.8591549295774648,0.8591549295774648,0.8591549295774648,0.8591549295774648
macro avg,0.8623983739837398,0.8554625199362041,0.8573437813944143,284.0
weighted avg,0.8609240810717966,0.8591549295774648,0.858475749008821,284.0
