topic_id,n,mean,median,median_ci_lo,median_ci_hi,std
126,507,0.41436258791814995,0.4943800331093371,0.4710982237011194,0.49845286761410534,0.30499487314802654
45,1280,0.43652273031658523,0.49362796545028687,0.470602692803368,0.49747529946907887,0.3224081510693347
83,803,0.4106748273744514,0.47368548810482025,0.2498624324798584,0.4939594594761729,0.31323189759203895
234,230,0.37515970371769863,0.2777715027332306,0.2484771006857045,0.48496688762679696,0.3278831557866218
195,284,0.39906329601207047,0.24985802173614502,0.24925851502339355,0.4957523901248351,0.3513315142513974
218,263,0.3579765380174386,0.24974316358566284,0.24868445505853742,0.40139319747686386,0.32981433466158133
136,469,0.3597264412363226,0.24959927797317505,0.24851375818252563,0.2498064637184143,0.33861041269052466
11,3748,0.3358832054011413,0.24936693906784058,0.2491265833377838,0.24956574977841228,0.31317572535854576
212,270,0.33159104878318935,0.24927761201979592,0.2484176312049385,0.24975088841165416,0.29310598825534306
118,552,0.3300908705344794,0.2492146692238748,0.24808459281921386,0.24970907968345274,0.3145160879794268
197,283,0.2267050409221416,0.24824905395507812,0.24659305810928345,0.24914026260375977,0.22473115088102844
152,398,0.33759792222272567,0.24823940062196925,0.23728902414441108,0.2497631468966574,0.33979719321212715
119,546,0.3295311953056309,0.24775689840316772,0.2449527584016323,0.24932813413106486,0.3198769833042199
184,304,0.29917892207671876,0.23702558875083923,0.09719832241535187,0.24894337612204254,0.33082996568963935
12,3682,0.2729866390322832,0.21287992596626282,0.16362139880657198,0.23789921030402184,0.3180076454118903
17,2730,0.26128071875681574,0.17636558413505554,0.037943134456872946,0.23585641384124756,0.3113219106373154
249,201,0.2503508972009848,0.15641829371452332,0.0028797388076782227,0.24802494049072266,0.2944169469271258
92,705,0.23586207333310666,0.11722022294998169,0.017385900020599365,0.2350219604792073,0.2878225776725563
68,943,0.2756874847395375,0.062055349349975586,0.011149466037750244,0.21767199039459229,0.3364330320257992
203,276,0.21260120954953574,0.04092930816113949,0.00500556081533432,0.23647492080926893,0.2721642970717683
220,256,0.23294735146868106,0.04074135422706604,0.004249274730682373,0.24007193185389042,0.2898930839679501
24,1990,0.30889303342010865,0.026229233480989933,0.012599691736977548,0.06093083322048186,0.3826169612836455
207,273,0.21865720737070074,0.0138932466506958,0.0029445886611938477,0.17605823278427124,0.2874689091375288
34,1491,0.24890488763620705,0.013005197048187256,0.006640446186065674,0.04580029249191283,0.3197292480947926
112,593,0.24903122704363434,0.007554113864898682,0.003354419767856598,0.028642654418945312,0.33490989560961143
242,208,0.21082097390738525,0.006482541561126709,0.001899421215057373,0.21115374565124512,0.2807028787100493
3,5681,0.22066241251594146,0.005929052829742432,0.0037106484174728397,0.011977195739746094,0.2921354159844095
110,599,0.18749365211985905,0.0049697160720825195,0.0030822530388832092,0.009734039008617388,0.2882746944842098
42,1313,0.22862908025187073,0.004945278167724609,0.0028511881828308105,0.013238668441772461,0.3098055905717645
26,1882,0.1890071299521656,0.003536313772201538,0.0021401047706604004,0.006471262127161025,0.2707582073967796
97,678,0.21334604120754158,0.003066331148147583,0.002177249640226364,0.006974884122610086,0.30821391593661224
38,1370,0.20176351938410925,0.0028730928897857666,0.0016940385103225708,0.005422957241535183,0.29267599873549527
94,693,0.1884998090841418,0.0024692416191101074,0.0015871524810791016,0.005793683289084583,0.2801278712842307
27,1838,0.22018441107822298,0.00241658091545105,0.0011586539447307586,0.005986206978559494,0.2983381415012649
105,625,0.2282774233994074,0.0018894672393798828,0.0008882179856300354,0.007638548314571359,0.32292697169624224
69,933,0.14821565842508558,0.0016149282455444336,0.0011820197105407715,0.002207517623901367,0.25437565763123726
163,355,0.17800504011302878,0.0014763474464416504,0.0005916178226470948,0.0028804540634155273,0.2802459069097795
246,204,0.15132558997905945,0.0014334022998809814,0.0007997296750545502,0.00482138991355896,0.23713639845338114
205,275,0.14161609329838856,0.0014137029647827148,0.0007853507995605469,0.003369152545928955,0.23480713834117412
88,759,0.12413177489664186,0.0013609528541564941,0.0010281801223754883,0.0016003251075744629,0.23731519050603037
74,909,0.14119363223229806,0.001340031623840332,0.001043364405632019,0.0017804503440856934,0.2332964192047434
148,423,0.12398841764448193,0.0013284683227539062,0.0009208917617797852,0.002340175956487654,0.22641549192332863
154,382,0.13787735271259516,0.0012256205081939697,0.0008801288902759553,0.0018280319869518275,0.25215130930040675
206,273,0.15880617811583364,0.0012251734733581543,0.0008644461631774902,0.0018905401229858398,0.2915203892478094
128,502,0.14573180930083943,0.0011388659477233887,0.0008474588394165039,0.001873314380645752,0.2742447100912427
44,1287,0.1594239614552442,0.0010686516761779785,0.0008185863494873047,0.0014287367463111872,0.27923990259589826
95,686,0.14816131719121042,0.001057446002960205,0.0007464617490768432,0.0016609005630016322,0.25002293756720384
138,458,0.18187142712322463,0.0009781718254089355,0.0004826575517654419,0.0023817323148250568,0.26672860021000044
194,285,0.11737544527175232,0.000971674919128418,0.00067901611328125,0.001931607723236084,0.18792192404494615
47,1216,0.15297805794283417,0.0009587365493644029,0.0007288455963134766,0.0014784932136535645,0.25236322538779016
229,242,0.12572844153977758,0.0009568631649017334,0.0007058888673782349,0.0017509512603282925,0.2312383835188004
196,284,0.0968628308926295,0.0009123682975769043,0.0006684958934783936,0.001444995403289795,0.21099525838833982
147,424,0.10918824036515325,0.000891566276550293,0.0006625369191169739,0.0012816525995731352,0.23512183734850534
85,777,0.14934575081804927,0.000889122486114502,0.0007215619087219238,0.0013791322708129883,0.26115146548777385
219,259,0.14992540899084783,0.0008886367431841791,0.0005911588668823242,0.0014914870262145996,0.274563786478545
189,294,0.136087475327116,0.0008807182312011719,0.0005784034729003906,0.0019020438194274902,0.23887695696693148
156,378,0.12451942688067137,0.0008736848831176758,0.0005785226821899414,0.0015180386602878563,0.22479609921648108
106,621,0.11725571250978196,0.0008671879768371582,0.0005459189414978027,0.0012909173965454102,0.20139689214762757
165,352,0.10832282231819011,0.0008658275182824582,0.0006088197231292724,0.0013519242405891413,0.20968152422139025
82,805,0.12194260074601578,0.0008600950241088867,0.0006468892097473145,0.0011747479438781738,0.22571224544452947
79,835,0.14562982215136874,0.0008548498153686523,0.0006929636001586914,0.0011833906173706055,0.2668268128227541
199,282,0.12294175417081152,0.0008473992347717285,0.0005545549094676972,0.0015490949153900146,0.23262104323079363
190,292,0.13691562164015908,0.0008453502377960831,0.0005712807178497314,0.0013413138687610624,0.23253062995226575
200,280,0.12633809502809268,0.0008401274681091309,0.0006424576044082641,0.0014150142669677734,0.21959963602044144
111,595,0.14947711826652335,0.0008220076560974121,0.0006371140480041504,0.0012088418006896973,0.24734918298629285
65,964,0.1383679478000671,0.0008102059364318848,0.0006427884101867676,0.0011027164757251738,0.2507659368082169
66,963,0.17557707807798784,0.0007907748222351074,0.000550687313079834,0.0011102989315986626,0.29072928093809897
160,360,0.09144360523613512,0.0007578730583190918,0.0006046891212463379,0.0010206401348114014,0.2159044432731448
123,521,0.1345784881371413,0.0007445216178894043,0.0005393087863922119,0.0011578381061553952,0.21900118238536484
183,306,0.07911578418890142,0.0007281303405761719,0.0005211234092712402,0.0009722627699375152,0.21310284498502993
31,1517,0.11998043500570402,0.0007182955741882324,0.0006285309791564941,0.0008397102355957031,0.22688352979668627
54,1148,0.11274320475793831,0.0007086694240570068,0.0005782842636108398,0.0008984558284282683,0.22567221606537988
109,606,0.14130447658505782,0.0007028486288618296,0.0005070269107818604,0.0009843677282333372,0.24760736265552688
107,615,0.10111616844291481,0.0007003545761108398,0.0006030768156051636,0.000895082950592041,0.20573939094367108
15,2824,0.10859966960901606,0.0006973147392272949,0.0006338313221931457,0.0007732513186056167,0.2327492385169173
39,1349,0.1533991771225485,0.0006971359252929688,0.0005851984024047852,0.0009337306022644042,0.26941431006609134
35,1482,0.17912290028151914,0.0006856918334960938,0.0005359023809432984,0.0009756088256835938,0.2778882952834424
161,358,0.09997177604074049,0.0006856918334960938,0.0004641413688659668,0.0009033940732479094,0.22613617422532245
